"GeneName"	"log2FC"	"pvalue"	"padj"
"ABCA2"	"0.855480550198906"	"0.0085148695837603"	"0.16683067440649"
"ABCB9"	"-1.18746833568759"	"0.000131978142782557"	"0.0159871267897431"
"ABCC2"	"-1.76170455141051"	"0.000292664103307801"	"0.0253951706746121"
"ABHD11"	"1.16318187986923"	"0.00142614441421974"	"0.0649369108446802"
"ABHD14B"	"0.969196290332456"	"0.000250290473190691"	"0.0237345593645923"
"ABL1"	"0.534674828471043"	"0.00319186927670882"	"0.0964207771539048"
"ABLIM2"	"1.08095480514592"	"0.000157933182366739"	"0.0175850911552063"
"ACAA1"	"1.14193380732877"	"0.00658534583596227"	"0.145108742581343"
"ACAA2"	"1.50886761802081"	"0.000939170671616883"	"0.0516010715732909"
"ACACB"	"-1.12753924353651"	"6.97057040710806e-05"	"0.0111017363116751"
"ACADS"	"0.951734291718856"	"0.00395795129080291"	"0.10873131690149"
"ACE2"	"1.24067209999673"	"0.00842744964988035"	"0.165711687054586"
"ACSS2"	"1.09399077953847"	"0.000605932009139841"	"0.041433894233682"
"ACTR1B"	"0.71561976181371"	"0.00757860503413886"	"0.157870875065455"
"ACVRL1"	"1.54311698619596"	"0.000712249731206108"	"0.0451716234573982"
"ADAL"	"-0.591628532053183"	"0.000314999717395909"	"0.0262471949952009"
"ADAM15"	"1.09431609953906"	"5.31912897641782e-05"	"0.009560754397327"
"ADAM19"	"-2.21081577792647"	"0.00466974197423636"	"0.119662846553949"
"ADAMTS7"	"-1.04249407181336"	"0.00590460498611163"	"0.135285341901523"
"ADCK1"	"0.766103460742094"	"0.000729185254788826"	"0.0455825663381387"
"ADCK3"	"0.99001743961222"	"0.00344773689980178"	"0.0999954135389993"
"ADRA2A"	"1.86633593331041"	"0.000285203590084149"	"0.0251350151988742"
"AFAP1-AS1"	"-1.83966987208777"	"0.000186923827489158"	"0.0199311491310897"
"AGA"	"-1.67197427126902"	"0.000784021580229012"	"0.0469311544150143"
"AKIRIN1"	"-0.641032633708688"	"0.00231311760133121"	"0.0838721776943783"
"AKR1B10"	"2.92653069789526"	"0.00514429768836355"	"0.125497945568908"
"ALDH1A3"	"-3.94339329140555"	"1.4201858171541e-05"	"0.0040117145653171"
"ALDH1B1"	"1.34260196444448"	"0.000443469396994015"	"0.0342314843741024"
"ALG14"	"0.847578881767797"	"0.000746304932892749"	"0.0455825663381387"
"ALG3"	"0.762429351761577"	"0.0120096259988952"	"0.198822518839604"
"ALOX5AP"	"-1.50476360908467"	"0.00542859055050267"	"0.129570061957135"
"ALS2"	"-1.09259320548771"	"0.00741735167330129"	"0.157134096424532"
"AMMECR1L"	"-0.409969961644388"	"0.00439646892183167"	"0.115860989187845"
"ANKRD54"	"0.566505699506071"	"0.00921170720948085"	"0.176142401382505"
"ANXA13"	"1.67855878833592"	"0.00789430841188789"	"0.160721987764358"
"ANXA2R"	"-1.30293134190452"	"0.00299261342140595"	"0.09366433350281"
"ANXA5"	"-1.2272502898053"	"0.00293848155611875"	"0.092672586501824"
"AOAH"	"1.28900385116665"	"0.000691110263743593"	"0.0445925607098559"
"AP1S2"	"-2.57665509236795"	"1.66738252593745e-05"	"0.00428142998802959"
"APLP1"	"-2.07614542062933"	"0.00026537716766872"	"0.0242298138293591"
"APLP2"	"-0.917476908736555"	"0.00994731856549767"	"0.184054650281017"
"APOBEC3C"	"-1.59453253430171"	"0.0113028074917624"	"0.194505303474948"
"APOBEC3F"	"-1.22489342014845"	"0.00405992259746193"	"0.110090401123418"
"APOBEC3G"	"-3.05988859549842"	"0.000309296031218562"	"0.026117870233503"
"APOO"	"-0.69872387429663"	"0.00437641339848448"	"0.115680742394394"
"ARHGAP12"	"-0.736641405876114"	"0.00766129816945394"	"0.159066755062821"
"ARHGDIG"	"1.86353134003875"	"7.80127695343452e-05"	"0.0115829690761857"
"ARHGEF16"	"0.697145297777066"	"0.00748079190576178"	"0.157134096424532"
"ARL4C"	"-2.27861816839796"	"3.32764373549296e-05"	"0.00721869197930558"
"ARMCX3"	"-1.34626072973145"	"0.00487713847708691"	"0.121387242178522"
"ARSJ"	"-1.61207998181089"	"0.00440362990361738"	"0.115860989187845"
"ASB4"	"-2.03794514026595"	"0.00486845384370741"	"0.121387242178522"
"ASCC1"	"-0.703114050374398"	"0.000305275710838367"	"0.0259525607687049"
"ASGR1"	"-0.857567456778934"	"0.0106898294973892"	"0.190466777434095"
"ASL"	"0.994377479164955"	"0.00775094646292587"	"0.159681103825668"
"ASS1"	"1.54567683053661"	"0.0107478650413937"	"0.191002313489853"
"ATP10B"	"2.50342671564542"	"0.000259038624286077"	"0.0241140388212294"
"ATP5E"	"-2.17590270242607"	"0.0116389222349341"	"0.19630150075059"
"ATP5G1"	"0.709522924153784"	"0.000725886298851441"	"0.0455825663381387"
"ATP6V0E2-AS1"	"-1.03635840467215"	"0.00533454114379809"	"0.128334984075081"
"ATP7B"	"1.15046441413381"	"0.00260843649920857"	"0.0868388898714659"
"ATP8A1"	"0.9859812755575"	"0.00622161209804894"	"0.140197925988626"
"ATP8B1"	"1.62963127854857"	"1.38379910364982e-06"	"0.00108818502013263"
"ATPAF1"	"0.546477574166454"	"0.00260295244166742"	"0.0868388898714659"
"ATXN1"	"-0.874775078100389"	"0.0112127457579472"	"0.194087688189083"
"AUH"	"0.678754850258819"	"0.00747819237736934"	"0.157134096424532"
"AUTS2"	"1.09842314449321"	"0.00655012808047312"	"0.145108742581343"
"B3GNT7"	"-0.750018586568719"	"0.00155206026973477"	"0.0678056330340377"
"B4GALT2"	"0.582685046703944"	"0.00247741936090717"	"0.0857890817492225"
"B4GALT5"	"-1.59682285966984"	"1.2821367713718e-05"	"0.00387607040669821"
"BCAT2"	"0.802392861847171"	"0.00226315529941947"	"0.0827762208642319"
"BCKDHB"	"1.00254342061031"	"0.00250230910962488"	"0.0857890817492225"
"BDH1"	"0.635238071965411"	"0.00842914319781711"	"0.165711687054586"
"BHLHE41"	"-0.945937840980569"	"0.0112133822100448"	"0.194087688189083"
"BMP2"	"0.788913846960603"	"0.00473629769383776"	"0.119662846553949"
"BPHL"	"0.657730645579676"	"0.00902183026918675"	"0.173037604339798"
"BST2"	"-3.83547919792542"	"2.07984027040814e-05"	"0.00476472858985775"
"BTBD16"	"-2.28758554574443"	"0.000248801859670704"	"0.0237345593645923"
"BTN3A2"	"0.978501515495662"	"0.00561232460083209"	"0.131939491253012"
"C11orf70"	"-0.9652001975073"	"0.00238702395293109"	"0.0848014122164671"
"C11orf74"	"-0.985311353977708"	"0.00375160862066053"	"0.106552459740747"
"C15orf41"	"-0.675351070902409"	"0.00184071403199964"	"0.0742303331750625"
"C15orf48"	"2.87423232035161"	"2.69240395681227e-07"	"0.000307962059860109"
"C15orf57"	"0.550744222990716"	"0.0101492722945232"	"0.184920516651671"
"C17orf75"	"-0.675660386661029"	"0.00211562589231219"	"0.0794817679254453"
"C1orf106"	"1.17915519691311"	"0.00241597743359752"	"0.0850736819964339"
"C1orf233"	"1.01108970519296"	"0.00385049825271154"	"0.10814055583843"
"C2CD4B"	"0.647993719111143"	"0.00942243439848054"	"0.177653569853101"
"C2orf88"	"1.70908698668675"	"8.11225418033683e-06"	"0.00340227940323327"
"C5orf34"	"-0.679235634366054"	"0.00543737026811057"	"0.129570061957135"
"C6orf223"	"1.30575952492841"	"0.00179918347204552"	"0.0734978131340154"
"C9orf152"	"2.00006912652398"	"0.00205611286957571"	"0.0786607062261927"
"C9orf64"	"-0.847464319395797"	"0.000746178589646079"	"0.0455825663381387"
"CA11"	"-0.867377672782554"	"0.0117088332642134"	"0.196689639693369"
"CA5B"	"-0.490355145503339"	"0.0119864655130823"	"0.198700538979712"
"CA8"	"1.41618633271692"	"0.00699075977494081"	"0.151525345571395"
"CAB39L"	"1.51301362236135"	"0.00485960874724263"	"0.121387242178522"
"CADPS"	"1.38185836452686"	"0.00197568955489611"	"0.0782834338073789"
"CALB2"	"-1.78069332144797"	"0.00119053417239117"	"0.0594605200854"
"CALML4"	"1.4280785406959"	"0.0065793741790309"	"0.145108742581343"
"CALU"	"-0.792668153878634"	"0.001734477061283"	"0.0718628637768664"
"CAMK2N2"	"-1.0559040739673"	"0.00930955965828512"	"0.177301574362285"
"CAMSAP2"	"-0.841397807966235"	"0.00709883966983383"	"0.153203431776757"
"CAPN15"	"0.669990782256494"	"0.00140514114013456"	"0.0649369108446802"
"CAPN5"	"1.08715179830779"	"0.00661873262468713"	"0.145108742581343"
